# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.02968e-05 to 1.74227 h/Mpc,
# number of wavenumbers equal to 571
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_ur                  14:t_ncdm[0]             15:t_tot              
       3.653986122749e-02      -6.654747780199e-01      -4.397193239097e+03      -4.426133458307e+03      -6.638710474820e-01      -1.141147130453e+03      -4.405919537207e+03       1.659677618705e-01       1.659677618546e-01      -1.137522669595e-04       5.294101499804e-01       5.294930147629e-01      -1.131564703434e-04       2.279462420449e-01       5.279911158943e-01 
       3.671027916086e-02      -6.624358998865e-01      -4.417974116470e+03      -4.447152340865e+03      -6.608394887376e-01      -1.140638981455e+03      -4.426799885653e+03       1.652098721844e-01       1.652098721686e-01      -1.132333720446e-04       5.319210820841e-01       5.320044496855e-01      -1.126402940111e-04       2.281354798945e-01       5.304915187609e-01 
       3.688189326698e-02      -6.594011915537e-01      -4.438886221759e+03      -4.468302158652e+03      -6.578120897756e-01      -1.140114948723e+03      -4.447810545392e+03       1.644530224439e-01       1.644530224283e-01      -1.127151858242e-04       5.344476897893e-01       5.345315586644e-01      -1.121248226562e-04       2.283224613465e-01       5.330075126136e-01 
       3.705474399634e-02      -6.563703716747e-01      -4.459935652688e+03      -4.489588969221e+03      -6.547885699238e-01      -1.139576064042e+03      -4.468957557237e+03       1.636971424810e-01       1.636971424655e-01      -1.121976602577e-04       5.369906988129e-01       5.370750674639e-01      -1.116100084882e-04       2.285070734104e-01       5.355398193136e-01 
       3.722887361635e-02      -6.533431745457e-01      -4.481128950989e+03      -4.511019264863e+03      -6.517686641177e-01      -1.139023133903e+03      -4.490247395287e+03       1.629421660294e-01       1.629421660141e-01      -1.116807502445e-04       5.395508879037e-01       5.396357546824e-01      -1.110958066438e-04       2.286891659438e-01       5.380892131788e-01 
       3.740432631868e-02      -6.503193243443e-01      -4.502472957641e+03      -4.532599837407e+03      -6.487520971983e-01      -1.138456660740e+03      -4.511686830430e+03       1.621880242996e-01       1.621880242845e-01      -1.111644089479e-04       5.421290716694e-01       5.422144348243e-01      -1.105821705326e-04       2.288685641268e-01       5.406565041498e-01 
       3.758114833449e-02      -6.472985099113e-01      -4.523974668817e+03      -4.554337631270e+03      -6.457385587532e-01      -1.137876777859e+03      -4.533282784258e+03       1.614346396883e-01       1.614346396733e-01      -1.106485833540e-04       5.447260825555e-01       5.448119402184e-01      -1.100690474177e-04       2.290450760882e-01       5.432425198355e-01 
       3.775938805849e-02      -6.442804309842e-01      -4.545641543732e+03      -4.576240054597e+03      -6.427277492453e-01      -1.137283315470e+03      -4.555042638517e+03       1.606819373113e-01       1.606819372965e-01      -1.101332226662e-04       5.473428095791e-01       5.474291598379e-01      -1.095563867722e-04       2.292185090426e-01       5.458481442079e-01 
       3.793909618237e-02      -6.412647782172e-01      -4.567481462838e+03      -4.598314931144e+03      -6.397193600677e-01      -1.136675795576e+03      -4.576974188243e+03       1.599298400169e-01       1.599298400023e-01      -1.096182738909e-04       5.499801897705e-01       5.500670305592e-01      -1.090441358760e-04       2.293887084992e-01       5.484743091028e-01 
       3.812032583865e-02      -6.382512076335e-01      -4.589502493224e+03      -4.620570269089e+03      -6.367130480736e-01      -1.136053398040e+03      -4.599085410915e+03       1.591782620184e-01       1.591782620039e-01      -1.091036786510e-04       5.526391838476e-01       5.527265129639e-01      -1.085322366605e-04       2.295555287426e-01       5.511219699852e-01 
